model,condition,PR-AUC,ROC-AUC,F1,Recall,Precision,Threshold,Model,Condition
LR,Class-weighting,0.7089186417669016,0.9741183403580904,0.7383177570093458,0.8061224489795918,0.6810344827586207,0.9953610568024204,LR,Class-weighting
LR,SMOTE-ENN,0.7233634174640282,0.9744757990421831,0.7649769585253456,0.8469387755102041,0.6974789915966386,0.9967290160368086,LR,SMOTE-ENN
LR,SMOTE,0.7222061819027399,0.974291506839089,0.7592592592592593,0.8367346938775511,0.6949152542372882,0.9967880179231202,LR,SMOTE
