model,condition,fold,PR-AUC,ROC-AUC,F1,Recall,Precision,threshold
XGB,SMOTE-ENN,3,0.822337,0.979757,0.861878,0.795918,0.939759,0.989621
CatBoost,SMOTE-ENN,3,0.823593,0.977562,0.837989,0.765306,0.925926,0.996027
LR,SMOTE-ENN,3,0.752362,0.968368,0.775281,0.704082,0.8625,0.999906
RF,SMOTE-ENN,4,0.819772,0.981625,0.832432,0.785714,0.885057,0.861847
XGB,SMOTE-ENN,4,0.809042,0.980659,0.840909,0.755102,0.948718,0.996446
CatBoost,SMOTE-ENN,4,0.818571,0.982736,0.847826,0.795918,0.906977,0.99722
LR,SMOTE-ENN,4,0.709117,0.981347,0.80198,0.826531,0.778846,0.998572
ANN,SMOTE-ENN,0,0.763761,0.962186,0.829787,0.787879,0.876404,0.999862
ANN,SMOTE-ENN,1,0.880041,0.967615,0.875676,0.818182,0.94186,0.99893
ANN,SMOTE-ENN,2,0.845774,0.980942,0.858639,0.836735,0.88172,0.999396
ANN,SMOTE-ENN,3,0.827759,0.971218,0.818653,0.806122,0.831579,0.996632
ANN,SMOTE-ENN,4,0.816357,0.973225,0.83871,0.795918,0.886364,0.99989
